Step Count,iA2,A2_Success,iHipFlexion_max,iHip_Extension_max,cHipFlexion_max,cHip_Extension_max,iSingle_Support,cSingle_Support,iSL,cSL,SLS,iAPGRF_max,cAPGRF_max,iVGRF_max,cVGRF_max
99,2.311039448,0,33.96265411,-2.786351681,27.39522934,-1.864896894,0.419998169,0.419998169,0.473230958,0.401382208,-0.035924375,1.249317765,1.337044239,10.22466278,10.05512047
100,2.699404478,1,34.41334915,-2.364296913,27.49360275,-4.323952675,0.400001526,0.400001526,0.48107484,0.465052307,-0.008011267,1.470110893,1.241620302,10.22666359,10.82607365
101,3.156995296,1,36.73822021,-2.81566143,28.12014198,-1.479697943,0.419998169,0.419998169,0.449117839,0.476475298,0.01367873,1.617944241,1.108690143,9.978077888,11.1810503
102,2.98709774,1,35.4287262,-2.623288393,26.82015228,-2.949964046,0.400001526,0.420001984,0.454684675,0.448341131,-0.003171772,1.323669791,1.291184902,9.466342926,9.99074173
103,2.943808317,1,36.04640579,-3.105690241,28.72551537,-2.966273785,0.420001984,0.399997711,0.465797693,0.45595175,-0.004922971,1.543067336,1.393576741,9.278691292,10.75205612
104,2.241313696,0,33.53517914,-2.321648598,28.67086983,-2.238304853,0.399997711,0.440002441,0.495735437,0.488033801,-0.003850818,1.485806584,1.250323653,9.986933708,10.74022388
105,2.580578327,1,27.98304749,-6.194861889,28.53712082,-3.843457222,0.420000076,0.420000076,0.466396391,0.468148857,0.000876233,1.34555912,1.238900065,9.361800194,10.41520214
106,2.359128237,0,28.38974953,-4.861276627,28.56000328,-6.362791538,0.440000057,0.440000057,0.505077243,0.509196758,0.002059758,1.157788515,1.271343827,10.26389122,9.693212509
107,2.242914438,0,28.96302223,-5.059566498,29.69901276,-3.834082365,0.440000057,0.420000076,0.536533237,0.489943385,-0.023294926,1.342058539,1.274596214,9.593984604,10.70156574
108,3.141970873,1,30.69877052,-3.917845249,30.01906776,-1.54610467,0.440000057,0.419999599,0.504627824,0.508095324,0.00173375,1.64979291,1.323985457,9.933638573,11.42066479
109,2.781542778,1,28.89812851,-6.950824261,29.35923004,-3.833793402,0.440000057,0.440000057,0.498484403,0.532167315,1.68E-02,1.507823229,1.251410246,9.897595406,10.35404682
110,2.401113272,0,28.68089104,-3.899623632,29.05740166,-3.416594982,0.400000095,0.420000076,0.521779835,0.548614383,0.013417274,1.340973854,1.196375012,9.802535057,10.3897171
111,2.687949657,1,27.85271072,-6.529881001,27.06453323,-5.592567921,0.440000534,0.420000076,0.47990787,0.495104849,0.00759849,1.161214828,1.271733403,10.09201336,10.12380314
112,2.472933292,0,27.14811707,-5.714128494,28.66503716,-6.172708988,0.43999958,0.420000076,0.519821107,0.480413318,-0.019703895,1.331076741,1.237288356,9.598747253,10.07525539
113,3.132301092,1,29.51730537,-6.940742493,28.83437157,-4.316761017,0.460000038,0.440000534,0.493527979,0.508317471,0.007394746,1.57958889,1.405962467,9.629582405,10.08762741
114,2.423424482,0,27.96070671,-7.450870514,29.32087517,-4.424137592,0.440000534,0.460000038,0.520546377,0.544724464,0.012089044,1.460863471,1.312559366,9.89648056,9.809820175
115,2.623346806,1,28.50099182,-8.110267639,27.73509598,-5.033329964,0.460000038,0.43999958,0.5118469,0.547057867,0.017605484,1.45115757,1.301234961,9.470747948,9.783283234
116,3.209017754,1,29.23781776,-6.280062199,28.84720612,-4.242596149,0.43999958,0.43999958,0.5148049,0.539112866,0.012153983,1.557758331,1.359098434,9.652025223,9.86406517
117,2.826103926,1,34.2997818,-6.180391312,27.98807907,-3.405682087,0.419999957,0.440000057,0.522866726,0.545865178,0.011499226,1.46754396,1.400849223,9.502821922,9.654965401
118,2.752500534,1,33.15356445,-3.143950939,27.85143852,-2.742509842,0.420000076,0.439999819,0.516758204,0.549800694,0.016521245,1.309679389,1.504797816,9.882829666,9.880280495
119,2.76843977,1,33.30365753,-4.889186859,27.3666687,-3.351046801,0.420000076,0.440000057,0.490377516,0.467533827,-0.011421844,1.650526166,1.401756167,9.951048851,10.43558025
120,2.254570484,0,31.2660923,-5.222114086,29.39863396,-3.048748732,0.400000095,0.440000057,0.498669058,0.465719461,-0.016474798,1.52111876,1.220934629,9.692803383,10.70403004
121,2.968149424,1,32.50275421,-3.655295849,28.69082451,-3.198563337,0.440000057,0.460000038,0.454916656,0.505093336,0.02508834,1.558234572,1.204728842,10.14446068,10.75184441
122,2.913160086,1,32.56674957,-3.735579491,29.39692688,-0.591627419,0.420000076,0.440000057,0.473066241,0.51311779,0.020025775,1.644509554,1.164355874,9.723677635,10.9911499
123,2.39272213,0,33.24315262,-4.346823692,29.1916275,-2.269490004,0.419999123,0.420000076,0.467211187,0.49076426,0.011776537,1.504199743,1.417841434,10.18814754,10.54973221
124,2.775092363,1,33.71506119,-4.084098339,30.76772499,-1.340395927,0.420000076,0.440000534,0.48661837,0.537850618,0.025616124,1.612027049,1.386791229,9.679184914,10.92776871
